Receipt No.,Account,Transaction_Type,Money_In,Money_Out,Balance,DayOfWeekName,Completion Time
F50XFOOQHS,John Roberson,Send Money,0.0,50.0,4006.6,Tuesday,2024-03-19 19:24:09
MCN4LTSMZ3,Mpesa Charges,Mpesa Charges,0.0,7.0,4056.6,Sunday,2024-03-17 19:49:25
QKA0NKC6Q9,John Roberson,Send Money,0.0,120.0,4063.6,Sunday,2024-03-17 19:49:25
7OVHSJKPNT,Michael Sanchez,Send Money,0.0,60.0,4183.6,Sunday,2024-03-17 19:46:48
IG929YGH1K,Mpesa Charges,Mpesa Charges,0.0,7.0,4243.6,Sunday,2024-03-17 19:44:25
54G1VBEB2A,Alicia Chapman,Send Money,0.0,150.0,4250.6,Sunday,2024-03-17 19:44:25
JGTMEV5R95,Airtime Purchase,Airtime Purchase,0.0,50.0,4400.6,Sunday,2024-03-17 19:06:48
M40QEH429M,Reeves-Copeland,Till No,0.0,1675.0,4450.6,Sunday,2024-03-17 18:59:24
3B4ZRLSRAN,Mpesa Charges,Mpesa Charges,0.0,21.19,1530.6,Sunday,2024-03-17 15:04:21
O2UZVRRKH0,"Vega, Levine and Benjamin",Till No,0.0,3854.0,1551.79,Sunday,2024-03-17 15:04:21
29QEGQKPK3,"Smith, Mcknight and Brown",Till No,0.0,170.0,5405.79,Saturday,2024-03-16 19:23:11
2XVSIJIYBK,Daniel Ellis,Send Money,0.0,100.0,5575.79,Saturday,2024-03-16 13:56:55
NBDTUMEXCH,Jasmine Alvarado,Send Money,0.0,60.0,5675.79,Saturday,2024-03-16 12:29:59
GNPBCEVWYB,Mpesa Charges,Mpesa Charges,0.0,33.0,5735.79,Saturday,2024-03-16 09:01:51
V4HU0IS8TL,"Smith, Mcknight and Brown",Till No,0.0,135.0,7418.79,Friday,2024-03-15 19:32:43
7W269AYNI0,Alexis Gutierrez,Send Money,0.0,70.0,7553.79,Thursday,2024-03-14 22:35:57
NUZOK2IJJY,Tina Carter,Pochi,0.0,60.0,7623.79,Thursday,2024-03-14 22:16:10
P6VAOXFXPP,Mpesa Charges,Mpesa Charges,0.0,7.0,7683.79,Thursday,2024-03-14 21:41:04
